Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
593.50	111.88	0.065028	15.378	2525.2	2699.5	55.340	32.325	82.049	464.09	16.741	20.797	0.086501	vapor
594.12	112.81	0.065731	15.214	2523.7	2697.6	55.284	32.413	82.885	463.48	16.654	20.841	0.087125	vapor
594.74	113.74	0.066444	15.050	2522.2	2695.6	55.226	32.501	83.740	462.86	16.567	20.885	0.087762	vapor
595.37	114.68	0.067165	14.889	2520.6	2693.6	55.169	32.590	84.615	462.23	16.480	20.929	0.088411	vapor
595.99	115.62	0.067897	14.728	2519.0	2691.6	55.111	32.680	85.511	461.59	16.393	20.974	0.089073	vapor
596.61	116.57	0.068638	14.569	2517.4	2689.5	55.053	32.770	86.427	460.95	16.306	21.020	0.089748	vapor
597.24	117.52	0.069389	14.412	2515.8	2687.4	54.995	32.861	87.365	460.30	16.220	21.066	0.090436	vapor
597.86	118.49	0.070150	14.255	2514.2	2685.3	54.936	32.953	88.326	459.64	16.133	21.112	0.091139	vapor
598.48	119.45	0.070921	14.100	2512.5	2683.2	54.877	33.045	89.311	458.98	16.047	21.159	0.091856	vapor
599.11	120.43	0.071703	13.946	2510.8	2681.0	54.817	33.137	90.320	458.30	15.961	21.207	0.092588	vapor
599.73	121.41	0.072496	13.794	2509.1	2678.8	54.757	33.231	91.354	457.62	15.875	21.255	0.093336	vapor
600.35	122.40	0.073300	13.642	2507.3	2676.5	54.697	33.325	92.414	456.93	15.789	21.304	0.094100	vapor
